agid,name,rank,station,unit,district,subDivision,landline,mobile,email,searchBlob
KSP0012,DIGP General,DIGP,General,HQ,Bengaluru City,,080-22215641,9480800072,digpgnl@ksp.gov.in,digp general digp general hq bengaluru city 080-22215641 9480800072 digpgnl@ksp.gov.in
KSP0013,DIGP ANTF,DIGP,ANTF,HQ,Bengaluru City,,,080-22942592,,digp antf digp antf hq bengaluru city 080-22942592
KSP0014,DIGP Crime,DIGP,Crime,HQ,Bengaluru City,,080-22942349,080-22211845,digpcrime@ksp.gov.in,digp crime digp crime hq bengaluru city 080-22942349 080-22211845 digpcrime@ksp.gov.in
KSP0015,DIGP HQRS,DIGP,HQRS,HQ,Bengaluru City,,080-22943430,9480800053,digphqco@ksp.gov.in,digp hqrs digp hqrs hq bengaluru city 080-22943430 9480800053 digphqco@ksp.gov.in
KSP0016,DIGP CTRS,DIGP,CTRS,Communication & Transport,Bengaluru City,,080-22238000,080-22942106,digpctrs@ksp.gov.in,digp ctrs digp ctrs communication & transport bengaluru city 080-22238000 080-22942106 digpctrs@ksp.gov.in
KSP0017,DIGP Railways,DIGP,Railways,Railways,Bengaluru City,,080-22102659,9480800455,igprly@ksp.gov.in,digp railways digp railways bengaluru city 080-22102659 9480800455 igprly@ksp.gov.in
KSP0018,DIGP KSRP HQ,DIGP,KSRP HQ,KSRP,Bengaluru City,,080-22215259,9480800052,digpksrp@ksp.gov.in,digp ksrp hq digp ksrp hq ksrp bengaluru city 080-22215259 9480800052 digpksrp@ksp.gov.in
KSP0019,DIGP KSRP BENGALURU ZONE,DIGP,KSRP BENGALURU ZONE,KSRP,Bengaluru City,,080-22943680,9480800845,,digp ksrp bengaluru zone digp ksrp bengaluru zone ksrp bengaluru city 080-22943680 9480800845
KSP0020,SP (W) PI Railway SBC BLURU,SP (W),PI Railway SBC BLURU,Railways,Bengaluru City,,080-22215911,080-22942334,crdgcontrol@ksp.gov.in,sp (w) pi railway sbc bluru sp (w) pi railway sbc bluru railways bengaluru city 080-22215911 080-22942334 crdgcontrol@ksp.gov.in
KSP0021,"SP PRO, CHIEF OFFICE",SP,"PRO, CHIEF OFFICE",HQ,Bengaluru City,,080-22942364,080-22210391,murthyaproco@gmail.com,"sp pro, chief office sp pro, chief office hq bengaluru city 080-22942364 080-22210391 murthyaproco@gmail.com"
KSP0022,APRO,APRO,,HQ,Bengaluru City,,,080-22943045,,apro hq bengaluru city 080-22943045
KSP0023,CAO,CAO,,HQ,Bengaluru City,,080-22212108,9480800033,caoco@ksp.gov.in,cao hq bengaluru city 080-22212108 9480800033 caoco@ksp.gov.in
KSP0024,DySP Law,DySP,Law,HQ,Bengaluru City,,080-22942615,9480800092,,dysp law dysp law hq bengaluru city 080-22942615 9480800092
KSP0025,PI LAW,PI,LAW,HQ,Bengaluru City,,080-22942615,7899759737,,pi law pi law hq bengaluru city 080-22942615 7899759737
KSP0026,DySP Crime,DySP,Crime,HQ,Bengaluru City,,080-22942121,9480800091,dspcrime2001@gmail.com,dysp crime dysp crime hq bengaluru city 080-22942121 9480800091 dspcrime2001@gmail.com
KSP0027,"Asst. Commdt., KSISF",Asst. Commdt.,"Asst. Commdt., KSISF",KSISF,Bengaluru City,,080-22943127,9480800778,acksisfdgoffice@ksp.gov.in,"asst. commdt., ksisf asst. commdt. ksisf bengaluru city 080-22943127 9480800778 acksisfdgoffice@ksp.gov.in"
KSP0028,"DySP MTO, Chief Office",DySP,"MTO, Chief Office",HQ,Bengaluru City,,080-22942814,9480800495,,"dysp mto, chief office dysp mto, chief office hq bengaluru city 080-22942814 9480800495"
KSP0029,DySP PI ISD,DySP,PI ISD,ISD,Ballari,,08392-22942384,9480800095,,dysp pi isd dysp pi isd isd ballari 08392-22942384 9480800095
KSP0030,PI PRC,PI,PRC,HQ,Bengaluru City,,,9731232721,,pi prc pi prc hq bengaluru city 9731232721
KSP0031,PI PRC,PI,PRC,HQ,Bengaluru City,,,9480336556,,pi prc pi prc hq bengaluru city 9480336556
KSP0032,Legal Advisor,Legal Advisor,Legal Advisor,HQ,Bengaluru City,,080-22109419,9480800162,,legal advisor hq bengaluru city 080-22109419 9480800162
KSP0033,JCF (Joint Controller Finance),,JCF (Joint Controller Finance),HQ,Bengaluru City,,080-22212561,9480800566,jcfco@ksp.gov.in,jcf (joint controller finance) hq bengaluru city 080-22212561 9480800566 jcfco@ksp.gov.in
KSP0034,DCF (Deputy Controller Finance),,DCF (Deputy Controller Finance),HQ,Bengaluru City,,080-22942413,9448621989,,dcf (deputy controller finance) hq bengaluru city 080-22942413 9448621989
KSP0035,DySP (W) DGP C/Room,DySP (W),DGP C/Room,HQ,Bengaluru City,,080-22943432,9364881600,crdgcontrol@ksp.gov.in,dysp (w) dgp c/room dysp (w) dgp c/room hq bengaluru city 080-22943432 9364881600 crdgcontrol@ksp.gov.in
KSP0036,PI (W) DGP C/Room,PI (W),DGP C/Room,HQ,Bengaluru City,,080-22943463,9480800924,,pi (w) dgp c/room pi (w) dgp c/room hq bengaluru city 080-22943463 9480800924
KSP0037,PI (W) DGP C/Room,PI (W),DGP C/Room,HQ,Bengaluru City,,080-22943463,9865151535,,pi (w) dgp c/room pi (w) dgp c/room hq bengaluru city 080-22943463 9865151535
KSP0038,DGP C/Room,DGP,C/Room,HQ,Bengaluru City,,080-22211777,9480800100,crdgcontrol@ksp.gov.in,dgp c/room dgp c/room hq bengaluru city 080-22211777 9480800100 crdgcontrol@ksp.gov.in
KSP0039,DGP C/Room FAX NUMBERS,DGP,C/Room FAX NUMBERS,HQ,Bengaluru City,,080-22215911,,,dgp c/room fax numbers dgp c/room fax numbers hq bengaluru city 080-22215911
KSP0040,TOLL FREE HELP LINE,,TOLL FREE HELP LINE,HQ,Bengaluru City,,18004250100,,,toll free help line hq bengaluru city 18004250100
KSP0041,PA ADGP ADMN,PA,ADGP ADMN,HQ,Bengaluru City,,080-22942101,9845720494,,pa adgp admn pa adgp admn hq bengaluru city 080-22942101 9845720494
KSP0042,PA ADGP ADMN,PA,ADGP ADMN,HQ,Bengaluru City,,080-22942101,9845571243,,pa adgp admn pa adgp admn hq bengaluru city 080-22942101 9845571243
KSP0043,PA ADGP ADMIN,PA,ADGP ADMIN,HQ,Bengaluru City,,080-22942101,8861782699,,pa adgp admin pa adgp admin hq bengaluru city 080-22942101 8861782699
KSP0044,PA ADGP L&O,PA,ADGP L&O,HQ,Bengaluru City,,080-22942103,9980092652,,pa adgp l&o pa adgp l&o hq bengaluru city 080-22942103 9980092652
KSP0045,PA ADGP L&O,PA,ADGP L&O,HQ,Bengaluru City,,080-22942103,,,pa adgp l&o pa adgp l&o hq bengaluru city 080-22942103
KSP0046,PA ADGP KSRP,PA,ADGP KSRP,KSRP,Bengaluru City,,080-22942104,,,pa adgp ksrp pa adgp ksrp ksrp bengaluru city 080-22942104
KSP0047,PA ADGP Cr & TS,PA,ADGP Cr & TS,HQ,Bengaluru City,,080-22942102,9901417661,,pa adgp cr & ts pa adgp cr & ts hq bengaluru city 080-22942102 9901417661
KSP0048,PA ADGP GHR,PA,PATO ADGP GHR,HQ,Bengaluru City,,080-22942105,9844622316,,pa adgp ghr pa pato adgp ghr hq bengaluru city 080-22942105 9844622316
KSP0049,PA IGP KSRP,PA,IGP KSRP,KSRP,Bengaluru City,,080-22942247,9886596473,,pa igp ksrp pa igp ksrp ksrp bengaluru city 080-22942247 9886596473
KSP0050,PA IGP HQRS-1,PA,IGP HQRS-1,HQ,Bengaluru City,,080-22245077,9449906124,,pa igp hqrs-1 pa igp hqrs-1 hq bengaluru city 080-22245077 9449906124
KSP0051,PA DIGP ADMN,PA,DIGP ADMN,HQ,Bengaluru City,,080-22942107,9886787774,,pa digp admn pa digp admn hq bengaluru city 080-22942107 9886787774
KSP0052,PA DIGP CTRS,PA,DIGP CTRS,Communication & Transport,Bengaluru City,,080-22942106,9739576698,,pa digp ctrs pa digp ctrs communication & transport bengaluru city 080-22942106 9739576698
KSP0053,PA DIGP KSRP,PA,DIGP KSRP,KSRP,Bengaluru City,,080-22215259,9844231596,,pa digp ksrp pa digp ksrp ksrp bengaluru city 080-22215259 9844231596
KSP0054,PA DIGP CRIME,PA,DIGP CRIME,HQ,Bengaluru City,,080-22211845,9844345704,,pa digp crime pa digp crime hq bengaluru city 080-22211845 9844345704
KSP0055,PA DIGP GENERAL,PA,DIGP GENERAL,HQ,Bengaluru City,,080-22215641,8710004369,,pa digp general pa digp general hq bengaluru city 080-22215641 8710004369
KSP0056,PA DIGP HQ,PA,DIGP HQ,HQ,Bengaluru City,,080-22279002,9901882762,,pa digp hq pa digp hq hq bengaluru city 080-22279002 9901882762
KSP0057,AAO HRM-I,AAO,HRM-I,HQ,Bengaluru City,,080-22942837,9448703385,,aao hrm-i aao hrm-i hq bengaluru city 080-22942837 9448703385
KSP0058,AAO HRM-II,AAO,HRM-II,HQ,Bengaluru City,,080-22942826,9632963754,,aao hrm-ii aao hrm-ii hq bengaluru city 080-22942826 9632963754
KSP0059,AAO L&O,AAO,L&O,HQ,Bengaluru City,,080-22942840,9980680758,,aao l&o aao l&o hq bengaluru city 080-22942840 9980680758
KSP0060,"AAO GC, BUILDING, ABY SECTION",AAO,"GC, BUILDING, ABY SECTION",HQ,Bengaluru City,,080-22942833,9886506419,,"aao gc, building, aby section aao gc, building, aby section hq bengaluru city 080-22942833 9886506419"
KSP0061,AAO Cr & TS,AAO,Cr & TS,HQ,Bengaluru City,,080-22943390,9036185986,,aao cr & ts aao cr & ts hq bengaluru city 080-22943390 9036185986
KSP0062,AAO KSRP,AAO,KSRP,KSRP,Bengaluru City,,080-22112136,8971621903,,aao ksrp aao ksrp bengaluru city 080-22112136 8971621903
KSP0063,DGP C/Room,DGP,C/Room,HQ,Bengaluru City,,080-22211777,9480800100,crdgcontrol@ksp.gov.in,dgp c/room dgp c/room hq bengaluru city 080-22211777 9480800100 crdgcontrol@ksp.gov.in
KSP0064,CID CIVIL C/Room,,CID CIVIL C/Room,HQ,Bengaluru City,,080-22942444,9480800123,spnoccid@ksp.gov.in,cid civil c/room hq bengaluru city 080-22942444 9480800123 spnoccid@ksp.gov.in
KSP0065,CID WIRELESS C/Room,,CID WIRELESS C/Room,HQ,Bengaluru City,,080-22942434,,crcod@ksp.gov.in,cid wireless c/room hq bengaluru city 080-22942434 crcod@ksp.gov.in
KSP0066,ISD C/Room,,ISD C/Room,HQ,Bengaluru City,,080-25596006,9480800600,,isd c/room hq bengaluru city 080-25596006 9480800600
KSP0067,C/Room,,C/Room,HQ,Bengaluru City,,080-22942222,8277945406,,c/room hq bengaluru city 080-22942222 8277945406
KSP0068,108 C/Room (Ambulance),,108 C/Room (Ambulance),HQ,Bengaluru City,,080-23280161,,,108 c/room (ambulance) hq bengaluru city 080-23280161
KSP0069,Central C/Room,,Central C/Room,HQ,Bengaluru City,,080-22943003,9480801100,,central c/room hq bengaluru city 080-22943003 9480801100
KSP0070,East C/Room,,East C/Room,HQ,Bengaluru City,,080-22943535,9480801200,,east c/room hq bengaluru city 080-22943535 9480801200
KSP0071,South-East C/Room,,South-East C/Room,HQ,Bengaluru City,,080-22943482,9480801600,,south-east c/room hq bengaluru city 080-22943482 9480801600
KSP0072,West C/Room,,West C/Room,HQ,Bengaluru City,,080-22943232,9480801700,,west c/room hq bengaluru city 080-22943232 9480801700
KSP0073,North C/Room,,North C/Room,HQ,Bengaluru City,,080-22943434,9480801300,,north c/room hq bengaluru city 080-22943434 9480801300
KSP0074,North-East C/Room,,North-East C/Room,HQ,Bengaluru City,,080-22943060,9480801400,,north-east c/room hq bengaluru city 080-22943060 9480801400
KSP0075,South C/Room,,South C/Room,HQ,Bengaluru City,,080-22943111,9480801500,,south c/room hq bengaluru city 080-22943111 9480801500
KSP0076,Traffic North C/Room,,Traffic North C/Room,HQ,Bengaluru City,,080-22943684,9480801096,,traffic north c/room hq bengaluru city 080-22943684 9480801096
KSP0077,Traffic South C/Room,,Traffic South C/Room,HQ,Bengaluru City,,080-22942704,9480801097,,traffic south c/room hq bengaluru city 080-22942704 9480801097
KSP0078,Traffic East C/Room,,Traffic East C/Room,HQ,Bengaluru City,,080-22943131,9480801095,,traffic east c/room hq bengaluru city 080-22943131 9480801095
KSP0079,Traffic West C/Room,,Traffic West C/Room,HQ,Bengaluru City,,080-22943030,9480801900,,traffic west c/room hq bengaluru city 080-22943030 9480801900
KSP0080,Traffic Central C/Room,,Traffic Central C/Room,HQ,Bengaluru City,,080-22943663,9480801094,,traffic central c/room hq bengaluru city 080-22943663 9480801094
KSP0081,Master C/Room,,Master C/Room,HQ,Bengaluru City,,080-22943322,,,master c/room hq bengaluru city 080-22943322
KSP0082,CCB C/Room,,CCB C/Room,HQ,Bengaluru City,,080-22943084,,,ccb c/room hq bengaluru city 080-22943084
KSP0083,CAR HQ. C/Room,,CAR HQ. C/Room,HQ,Bengaluru City,,080-22943555,,,car hq. c/room hq bengaluru city 080-22943555
KSP0084,CAR North C/Room,,CAR North C/Room,HQ,Bengaluru City,,080-22943222,9480801046,,car north c/room hq bengaluru city 080-22943222 9480801046
KSP0085,CAR South C/Room,,CAR South C/Room,HQ,Bengaluru City,,080-22943333,,,car south c/room hq bengaluru city 080-22943333
KSP0086,Whitefield C/Room,,Whitefield C/Room,HQ,Bengaluru City,,080-22942959,9480801144,,whitefield c/room hq bengaluru city 080-22942959 9480801144
KSP0087,RAILWAY C/Room,,RAILWAY C/Room,HQ,Bengaluru City,,080-22942666,9480802140,dcrly@ksp.gov.in,railway c/room hq bengaluru city 080-22942666 9480802140 dcrly@ksp.gov.in
KSP0088,RPF C/Room,,RPF C/Room,HQ,Bengaluru City,,080-22156322,,,rpf c/room hq bengaluru city 080-22156322
KSP0089,BBMP C/Room,,BBMP C/Room,HQ,Bengaluru City,,080-22221188,,,bbmp c/room hq bengaluru city 080-22221188
KSP0090,DEAD BODY C/Room,,DEAD BODY C/Room,HQ,Bengaluru City,,080-22975829,,,dead body c/room hq bengaluru city 080-22975829
KSP0091,CISF C/Room,,CISF C/Room,HQ,Bengaluru City,,080-22001509,,,cisf c/room hq bengaluru city 080-22001509
KSP0092,DISASTER C/Room,,DISASTER C/Room,HQ,Bengaluru City,,080-22340676,,,disaster c/room hq bengaluru city 080-22340676
KSP0093,INT C/Room,,INT C/Room,HQ,Bengaluru City,,080-22240372,9449878811,,int c/room hq bengaluru city 080-22240372 9449878811
KSP0094,I BN KSRP C/Room,,I BN KSRP C/Room BENGALURU,HQ,Bengaluru City,,080-25584116,9480800829,,i bn ksrp c/room i bn ksrp c/room bengaluru hq bengaluru city 080-25584116 9480800829
KSP0095,III BN KSRP C/Room,,III BN KSRP C/Room BENGALURU,HQ,Bengaluru City,,080-22943638,9480800836,,iii bn ksrp c/room iii bn ksrp c/room bengaluru hq bengaluru city 080-22943638 9480800836
KSP0096,IV BN KSRP C/Room,,IV BN KSRP C/Room BENGALURU,HQ,Bengaluru City,,080-22942118,9480800840,,iv bn ksrp c/room iv bn ksrp c/room bengaluru hq bengaluru city 080-22942118 9480800840
KSP0097,IX BN KSRP C/Room KOODLU,,IX BN KSRP C/Room KOODLU,HQ,Bengaluru City,,080-28440661,9480800857,,ix bn ksrp c/room koodlu hq bengaluru city 080-28440661 9480800857
KSP0098,CBI C/Room,,CBI C/Room,HQ,Bengaluru City,,080-23331026,,,cbi c/room hq bengaluru city 080-23331026
KSP0099,ISPW C/Room,,ISPW C/Room,HQ,Bengaluru City,,080-22259660,,,ispw c/room hq bengaluru city 080-22259660
KSP0100,DISASTER C/Room (REVENUE DEPT),,DISASTER C/Room (REVENUE DEPT),HQ,Bengaluru City,,080-22253707,,,disaster c/room (revenue dept) hq bengaluru city 080-22253707
KSP0101,"DISASTER C/Room, COP",,"DISASTER C/Room, COP",HQ,Bengaluru City,,080-22943283,,,"disaster c/room, cop hq bengaluru city 080-22943283"
KSP0102,FIRE & EMERGENCY SERVICES C/Room,,FIRE & EMERGENCY SERVICES C/Room,HQ,Bengaluru City,,080-22971500,9513749109,,fire & emergency services c/room hq bengaluru city 080-22971500 9513749109
KSP0103,HOME GUARDS C/Room,,HOME GUARDS C/Room,HQ,Bengaluru City,,080-25553234,,,home guards c/room hq bengaluru city 080-25553234
KSP0104,CIVIL DEFENCE C/Room,,CIVIL DEFENCE C/Room,HQ,Bengaluru City,,080-22267920,,,civil defence c/room hq bengaluru city 080-22267920
KSP0105,CRPF,,CRPF BENGALURU,HQ,Bengaluru City,,,080-28567730,,crpf crpf bengaluru hq bengaluru city 080-28567730
KSP0106,VIDHANA SOUDHA EXCHANGE,,VIDHANA SOUDHA EXCHANGE,HQ,Bengaluru City,,080-22032000,,,vidhana soudha exchange hq bengaluru city 080-22032000
KSP0107,VIKASA SOUDHA EXCHANGE,,VIKASA SOUDHA EXCHANGE,HQ,Bengaluru City,,080-22035005,,,vikasa soudha exchange hq bengaluru city 080-22035005
KSP0108,"ADGP & PS to Govt, Home Department (PCAS)",ADGP,"& Principal Secretary to Government, Home Department (PCAS)",HQ,,,080-22033710,080-22256774,secypcas-home@karnataka.gov.in,"adgp & ps to govt, home department (pcas) adgp & principal secretary to government, home department (pcas) hq 080-22033710 080-22256774 secypcas-home@karnataka.gov.in"
KSP0109,IGP Vigilance Water Resource Development,IGP,"Vigilance Water Resource Development, Bengaluru",Officers on State Deputation,Bengaluru City,,080-22384076,,igpwrv@gmail.com,"igp vigilance water resource development igp vigilance water resource development, bengaluru officers on state deputation bengaluru city 080-22384076 igpwrv@gmail.com"
KSP0110,"DIGP COMMISSIONER, YOUTH EMPOWERMENT & SPORTS DEPARTMENT",DIGP,"COMMISSIONER, YOUTH EMPOWERMENT & SPORTS DEPARTMENT",Officers on State Deputation,,,,080-22215601,dyesdept@gmail.com,"digp commissioner, youth empowerment & sports department digp commissioner, youth empowerment & sports department officers on state deputation 080-22215601 dyesdept@gmail.com"
KSP0111,"DIGP & Secretary, Karnataka Building and Other Construction Workers Welfare Board",DIGP,"& Secretary, Karnataka Building and Other Construction Workers Welfare Board Bengaluru",Officers on State Deputation,Bengaluru City,,,9902956196,,"digp & secretary, karnataka building and other construction workers welfare board digp & secretary, karnataka building and other construction workers welfare board bengaluru officers on state deputation bengaluru city 9902956196"
KSP0112,DIGP Vigilance Karnataka Power Corporation Ltd (KPCL),DIGP,Vigilance Karnataka Power Corporation Ltd (KPCL),Officers on State Deputation,,,,9880902400,cvokpcl@karnataka.gov.in,digp vigilance karnataka power corporation ltd (kpcl) digp vigilance karnataka power corporation ltd (kpcl) officers on state deputation 9880902400 cvokpcl@karnataka.gov.in
KSP0113,"DIGP & Director, BMTC (Security & Vigilance)",DIGP,"& Director, BMTC (Security & Vigilance), Bengaluru",Officers on State Deputation,Bengaluru City,,,080-22537512,directorsv@mybmtc.com,"digp & director, bmtc (security & vigilance) digp & director, bmtc (security & vigilance), bengaluru officers on state deputation bengaluru city 080-22537512 directorsv@mybmtc.com"
KSP0114,SP vigilance CHESCOM,SP,"vigilance CHESCOM, Mysuru",Officers on State Deputation,Mysuru,,0821-2342707,0821-2342708,dyspvigmos@gmail.com,"sp vigilance chescom sp vigilance chescom, mysuru officers on state deputation mysuru 0821-2342707 0821-2342708 dyspvigmos@gmail.com"
KSP0115,SP HESCOM,SP,"HESCOM, Hubballi",Officers on State Deputation,Dharwad,,,0836-2361034,sp_vigilance@yahoo.com,"sp hescom sp hescom, hubballi officers on state deputation dharwad 0836-2361034 sp_vigilance@yahoo.com"
KSP0116,SP BMRDA (EXCLUDING BDA & BMICAPA),SP,BMRDA (EXCLUDING BDA & BMICAPA),Officers on State Deputation,,,,9916865069,,sp bmrda (excluding bda & bmicapa) sp bmrda (excluding bda & bmicapa) officers on state deputation 9916865069
KSP0117,SP BDA,SP,"BDA, Bengaluru",Officers on State Deputation,Bengaluru City,,,080-23364227,sp@bdabangalore.org,"sp bda sp bda, bengaluru officers on state deputation bengaluru city 080-23364227 sp@bdabangalore.org"
KSP0118,SP BESCOM Vigilance,SP,"BESCOM Vigilance, Bengaluru",Officers on State Deputation,Bengaluru City,,,080-22381838,spvigilance@yahoo.in,"sp bescom vigilance sp bescom vigilance, bengaluru officers on state deputation bengaluru city 080-22381838 spvigilance@yahoo.in"
KSP0119,SP GESCOM,SP,"GESCOM, Kalaburagi",Officers on State Deputation,Kalaburagi,,,08472-256738,gescomsp@gmail.com,"sp gescom sp gescom, kalaburagi officers on state deputation kalaburagi 08472-256738 gescomsp@gmail.com"
KSP0120,Director of Kannada and Culture Department,,Director of Kannada and Culture Department,Officers on State Deputation,,,080-22213530,080-22214379,kanbhavblr@gmail.com,director of kannada and culture department officers on state deputation 080-22213530 080-22214379 kanbhavblr@gmail.com
KSP0121,MD KARNATAKA SILK MARKETING BOARD LIMITED,,MD KARNATAKA SILK MARKETING BOARD LIMITED BENGALURU,Officers on State Deputation,Bengaluru City,,,080-23120155,ksmblt@gmail.com,md karnataka silk marketing board limited md karnataka silk marketing board limited bengaluru officers on state deputation bengaluru city 080-23120155 ksmblt@gmail.com
KSP0122,Additional Director (Vigilance & Information Technology (I.T)),Additional Director,(Vigilance & Information Technology (I.T)),Officers on State Deputation,,,,080-22354857,ddit.fcs-ka@nic.in,additional director (vigilance & information technology (i.t)) additional director (vigilance & information technology (i.t)) officers on state deputation 080-22354857 ddit.fcs-ka@nic.in
KSP0123,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,080-22211803,9480800001,police@ksp.gov.in,dg & igp (retd.) retired police officers 080-22211803 9480800001 police@ksp.gov.in
KSP0124,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-25257950,,dg & igp (retd.) retired police officers 080-25257950
KSP0125,R.RAMALINGAM RETD DG & IGP,,R.RAMALINGAM RETD DG & IGP,Retired Police Officers,,,,080-23537979,,r.ramalingam retd dg & igp retired police officers 080-23537979
KSP0126,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-25266966,sampige05@gmail.com,dg & igp (retd.) retired police officers 080-25266966 sampige05@gmail.com
KSP0127,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-22236969,,dg & igp (retd.) retired police officers 080-22236969
KSP0128,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9880300477,,dg & igp (retd.) retired police officers 9880300477
KSP0129,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-25265620,,dg & igp (retd.) retired police officers 080-25265620
KSP0130,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9845517343,,dg & igp (retd.) retired police officers 9845517343
KSP0131,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9448327335,,dg & igp (retd.) retired police officers 9448327335
KSP0132,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9844264400,,dg & igp (retd.) retired police officers 9844264400
KSP0133,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-26681451,,dg & igp (retd.) retired police officers 080-26681451
KSP0134,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-22103377,,dg & igp (retd.) retired police officers 080-22103377
KSP0135,DG & IG (Retd.),DG & IG (Retd.),,Retired Police Officers,,,,080-26682275,,dg & ig (retd.) retired police officers 080-26682275
KSP0136,DG & IG (Retd.),DG & IG (Retd.),,Retired Police Officers,,,,9036353833,,dg & ig (retd.) retired police officers 9036353833
KSP0137,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9902788641,stramesh@gamil.com,dg & igp (retd.) retired police officers 9902788641 stramesh@gamil.com
KSP0138,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9482324949,,dg & igp (retd.) retired police officers 9482324949
KSP0139,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-26682915,,dg & igp (retd.) retired police officers 080-26682915
KSP0140,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,080-26684688,,dg & igp (retd.) retired police officers 080-26684688
KSP0141,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,7085629457,,dg & igp (retd.) retired police officers 7085629457
KSP0142,"DG & IGP (Advisor to Hon'ble Chief Minister, West Bengal State) (Retd.)",DG & IGP (Retd.),,Retired Police Officers,,,,9650409494,,"dg & igp (advisor to hon'ble chief minister, west bengal state) (retd.) dg & igp (retd.) retired police officers 9650409494"
KSP0143,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9810578274,neelamaniraju@gmail.com,dg & igp (retd.) retired police officers 9810578274 neelamaniraju@gmail.com
KSP0144,DG & IGP (Retd.),DG & IGP (Retd.),,Retired Police Officers,,,,9844266099,,dg & igp (retd.) retired police officers 9844266099
KSP0145,"Spl. Secretary, Govt. of India (Retd.)",Spl (Retd.),,Retired Police Officers,,,,080-25262566,,"spl. secretary, govt. of india (retd.) spl (retd.) retired police officers 080-25262566"
KSP0146,Spl Cabinet Secretary (Retd.),Spl Cabinet Secretary (Retd.),,Retired Police Officers,,,,080-22227456,,spl cabinet secretary (retd.) retired police officers 080-22227456
KSP0147,"Special Secretary, Cabinet Secretariat (Retd.)",Special Secretary (Retd.),,Retired Police Officers,,,,9449810347,,"special secretary, cabinet secretariat (retd.) special secretary (retd.) retired police officers 9449810347"
