"Section","Unit","Designation","Phone","Email"
"State Police Headquarters","Control Rooms in Bengaluru","WEST CONTROL ROOM","22943232 / 9480801700",""
"State Police Headquarters","Control Rooms in Bengaluru","NORTH CONTROL ROOM","22943434 / 9480801300",""
"State Police Headquarters","Control Rooms in Bengaluru","NORTH EAST CONTROL ROOM","22943060 / 9480801400",""
"State Police Headquarters","Control Rooms in Bengaluru","SOUTH CONTROL ROOM","22943111 / 9480801500",""
"State Police Headquarters","Control Rooms in Bengaluru","TRAFFIC NORTH CONTROL ROOM","22943684 / 9480801096",""
"State Police Headquarters","Control Rooms in Bengaluru","TRAFFIC SOUTH CONTROL ROOM","22942704 / 9480801097",""
"State Police Headquarters","Control Rooms in Bengaluru","TRAFFIC EAST CONTROL ROOM","22943131 / 9480801095",""
"State Police Headquarters","Control Rooms in Bengaluru","TRAFFIC WEST CONTROL ROOM","22943030 / 9480801900",""
"State Police Headquarters","Control Rooms in Bengaluru","TRAFFIC CENTRAL CONTROL ROOM","22943663 / 9480801094",""
"State Police Headquarters","Control Rooms in Bengaluru","MASTER CONTROL ROOM","22943322 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","CCB CONTROL ROOM","22943084 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","CAR HQRS CONTROL ROOM","22943555 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","CAR NORTH CONTROL ROOM","22943222 / 9480801046",""
"State Police Headquarters","Control Rooms in Bengaluru","CAR SOUTH CONTROL ROOM","22943333 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","WHITE FIELD CONTROL ROOM","22942959 / 9480801144 / 7411747100",""
"State Police Headquarters","Control Rooms in Bengaluru","RAILWAY CONTROL ROOM","22942666 / 22871291 / 9480802140","dcrly@ksp.gov.in"
"State Police Headquarters","Control Rooms in Bengaluru","RPF CONTROL ROOM","22156322 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","BBMP CONTROL ROOM","22221188 / 22660000 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","DEAD BODY CONTROL ROOM","22975829 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","CISF CONTROL ROOM","22001509 / 22001519 / 22001514 / 22001513 / 22001520 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","DISASTER CONTROL ROOM","22340676 / 22253707 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","INT CONTROL ROOM","22240372 / 22942608 / 9449878811",""
"State Police Headquarters","Control Rooms in Bengaluru","I BN KSRP CONTROL ROOM BENGALURU","25584116 / 22942555 / 22943635 / 9480800829",""
"State Police Headquarters","Control Rooms in Bengaluru","III BN KSRP CONTROL ROOM BENGALURU","22943638 / 9480800836",""
"State Police Headquarters","Control Rooms in Bengaluru","IV BN KSRP CONTROL ROOM BENGALURU","22942118 / 25530257 / 9480800840",""
"State Police Headquarters","Control Rooms in Bengaluru","IX BN KSRP CONTROL ROOM KOODLU","28440661 / 28440673 / 9480800857",""
"State Police Headquarters","Control Rooms in Bengaluru","CBI CONTROL ROOM","23331026 / 23331977 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","ISPW CONTROL ROOM","22259660 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","DISASTER CONTROL ROOM (REVENUE DEPT)","22253707 / 22340676 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","DISASTER CONTROL ROOM, COP","22943283 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","FIRE & EMERGENCY SERVICES CONTROL ROOM","22971500 / 22971600 / 22971550 / 22971512 / 101 / 9513749109",""
"State Police Headquarters","Control Rooms in Bengaluru","HOME GUARDS CONTROL ROOM","25553234 / 25576853 / 25576850 / 22267920 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","CIVIL DEFENCE CONTROL ROOM","22267920 / 22942720 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","CRPF BENGALURU","080-28567730 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","VIDHANA SOUDHA EXCHANGE","22032000 / 22032998 / —",""
"State Police Headquarters","Control Rooms in Bengaluru","VIKASA SOUDHA EXCHANGE","22035005 / 22034545 / 22032222 / —",""
"State Police Headquarters","Officers on State Deputation","ADGP & Principal Secretary to Government, Home Department (PCAS)","080-22256774 / 22033710 / 22342730 / 9448400100","secypcas-home@karnataka.gov.in, prspcas-home@karnataka.gov.in"
"State Police Headquarters","Officers on State Deputation","IGP, Vigilance Water Resource Development, Bengaluru","22384076 / 22874201 / —","igpwrv@gmail.com"
"State Police Headquarters","Officers on State Deputation","DIGP, COMMISSIONER, YOUTH EMPOWERMENT & SPORTS DEPARTMENT","080-22215601 / 9480886544","dyesdept@gmail.com"
"State Police Headquarters","Officers on State Deputation","DIGP & Secretary, Karnataka Building and Other Construction Workers Welfare Board Bengaluru","— / 9902956196",""
"State Police Headquarters","Officers on State Deputation","DIGP, Vigilance Karnataka Power Corporation Ltd (KPCL)","— / 9880902400","cvokpcl@karnataka.gov.in"
"State Police Headquarters","Officers on State Deputation","DIGP & Director, BMTC (Security & Vigilance), Bengaluru","080-22537512 / 080-22537513 / 7760994200 (BMTC) / 7022749923","directorsv@mybmtc.com"
"State Police Headquarters","Officers on State Deputation","SP, vigilance CHESCOM, Mysuru","0821-2342708 / 2342707 / 9448499964","dyspvigmos@gmail.com, spvigilance@cescmysore.org"
"State Police Headquarters","Officers on State Deputation","SP, HESCOM, Hubballi","0836-2361034 / 9448356984 / 9900334382","sp_vigilance@yahoo.com"
"State Police Headquarters","Officers on State Deputation","SP BMRDA (EXCLUDING BDA & BMICAPA)","— / 9916865069",""
"State Police Headquarters","Officers on State Deputation","SP, BDA, Bengaluru","080-23364227 / 7019053100","sp@bdabangalore.org"
"State Police Headquarters","Officers on State Deputation","SP, BESCOM Vigilance, Bengaluru","080-22381838 / 9448042375","spvigilance@yahoo.in"
"State Police Headquarters","Officers on State Deputation","SP, GESCOM, Kalaburagi","08472-256738 / 256842 / 9448359010","gescomsp@gmail.com"
"State Police Headquarters","Officers on State Deputation","Director of Kannada and Culture Department","080-22214379 / 22213530 / 9449842130","kanbhavblr@gmail.com"
"State Police Headquarters","Officers on State Deputation","MD KARNATAKA SILK MARKETING BOARD LIMITED BENGALURU","080-23120155 / —","ksmblt@gmail.com"
"State Police Headquarters","Officers on State Deputation","Additional Director (Vigilance & Information Technology (I.T))","080-22354857 / —","ddit.fcs-ka@nic.in"
"State Police Headquarters","Retired Police Officers","K.U.BALAKRISHNA RAU RETD. DG & IGP","080-25258776 / —",""
"State Police Headquarters","Retired Police Officers","M.S.RAGHURAMAN RETD. DG & IGP","080-25257950 / 9663512721",""
"State Police Headquarters","Retired Police Officers","R.RAMALINGAM RETD DG & IGP","080-23537979 / 9448357979",""
"State Police Headquarters","Retired Police Officers","S.N.S.MURTHY RETD. DG & IGP","080-25266966 / 9886394206","sampige05@gmail.com"
"State Police Headquarters","Retired Police Officers","F.T.R.COLASO RETD. DG & IGP","080-22236969 / 8892498545",""
"State Police Headquarters","Retired Police Officers","A.S.MALURKAR RETD. DG & IGP","— / 9880300477",""
"State Police Headquarters","Retired Police Officers","DR. K.SREENIVASAN RETD. DG & IGP","080-25265620, 25984455 / 9448065620",""
"State Police Headquarters","Retired Police Officers","V.V.BHASKAR RETD. DG & IGP","— / 9845517343",""
"State Police Headquarters","Retired Police Officers","T.MADIYAL RETD. DG & IGP","— / 9448327335",""
"State Police Headquarters","Retired Police Officers","M.D.SINGH RETD. DG & IGP","— / 9844264400",""
"State Police Headquarters","Retired Police Officers","SUSIL N.BORKAR RETD. DG & IGP","080-26681451 / 9845495070, 9342811449",""
"State Police Headquarters","Retired Police Officers","B.N.P.ALBUQUERQUE RETD. DG & IGP","080-22103377 / 9886982719",""
"State Police Headquarters","Retired Police Officers","R. SRIKUMAR RETD. DG & IG","080-26682275 / 9844093548",""
"State Police Headquarters","Retired Police Officers","Dr. AJAI KUMAR SINGH RETD. DG & IG","— / 9036353833",""
"State Police Headquarters","Retired Police Officers","Dr. S.T.RAMESH RETD. DG & IGP","— / 9902788641","stramesh@gamil.com"
"State Police Headquarters","Retired Police Officers","N.ACHUTA RAO RETD. DG & IGP","— / 9482324949",""
"State Police Headquarters","Retired Police Officers","S.M.BIDARI RETD. DG & IGP","080-26682915 / 9900027854",""
"State Police Headquarters","Retired Police Officers","A.R.INFANT RETD. DG & IGP","080-26684688 / 9742601346",""
"State Police Headquarters","Retired Police Officers","LALROKHUMA PACHUAU RETD. DG & IGP","— / 7085629457",""
"State Police Headquarters","Retired Police Officers","RUPAK KUMAR DUTTA RETD. DG & IGP (Advisor to Hon'ble Chief Minister, West Bengal State)","— / 9650409494",""
"State Police Headquarters","Retired Police Officers","NEELMANI N RAJU RETD. DG & IGP (Hon'ble Member, RERA)","— / 9810578274","neelamaniraju@gmail.com"
"State Police Headquarters","Retired Police Officers","DR. ALOK MOHAN RETD. DG & IGP","— / 9844266099",""
"State Police Headquarters","Retired Police Officers","P.P.R.NAIR RETD. Spl. Secretary, Govt. of India","080-25262566 / 9886425169",""
"State Police Headquarters","Retired Police Officers","BALAKRISHNAN RETD. Spl Cabinet Secretary","080-22227456 / 9379058687",""
"State Police Headquarters","Retired Police Officers","S.GOPAL RETD. Special Secretary, Cabinet Secretariat","— / 9449810347",""
"State Police Headquarters","Retired Police Officers","N.NARASIMHAN RETD. Secretary Cabinet Secretariat","— / 9900195803",""
"State Police Headquarters","Retired Police Officers","A.ARJUNAN RETD. Spl. Secretary","080-26762831 / 9480611218",""
"State Police Headquarters","Retired Police Officers","S.C.BURMAN RETD. DGP","— / 9880280804",""
"State Police Headquarters","Retired Police Officers","R.M.VASANTH KUMAR RETD. DGP","— / 7017481276",""
"State Police Headquarters","Retired Police Officers","CHANDU LAL RETD. DGP","— / 9449631100",""
"State Police Headquarters","Retired Police Officers","R.S.CHOPRA RETD. DGP","— / 9632759095",""
"State Police Headquarters","Retired Police Officers","Dr. D.V.GURUPRASAD RETD. DGP","— / 9448090440",""
"State Police Headquarters","Retired Police Officers","JAIPARKASH RETD. DGP","080-25533825 / 9482031027, 9986806504",""
"State Police Headquarters","Retired Police Officers","JIJA MADHAVAN HARISINGH RETD. DGP","— / 9880140477",""
"State Police Headquarters","Retired Police Officers","Dr. S.KRISHNA MURTHY RETD. DGP","080-23418655 / 9980517125",""
"State Police Headquarters","Retired Police Officers","KUCHANNA SRINIVASAN RETD. DGP","— / 9483503999, 9448357962",""
"State Police Headquarters","Retired Police Officers","S.MARISWAMY RETD. DGP","— / 9611112192",""
"State Police Headquarters","Retired Police Officers","L.REVANNASIDDAIAH RETD. DGP","— / 9448138828",""
"State Police Headquarters","Retired Police Officers","Y.S.RAO RETD. DGP","080-26588895 / 9481603449",""
"State Police Headquarters","Retired Police Officers","Dr. P.S.RAMANUJAM RETD. DGP","— / 8792416998",""
"State Police Headquarters","Retired Police Officers","Dr. H.T.SANGLIANA RETD. DGP","080-25703838 / 9740119901",""
"State Police Headquarters","Retired Police Officers","M.K.SRIVASTAVA RETD. DGP","080-26686582 / 9845214008","mkdgp77@gmail.com"
"State Police Headquarters","Retired Police Officers","Dr. B.E.UMAPATHY RETD. DGP","— / 9845240900",""
"State Police Headquarters","Retired Police Officers","N.S.MEGHARIKH RETD. DGP","— / 9844044166","megharikh@yahoo.com"
"State Police Headquarters","Retired Police Officers","H.N SATHYANARAYANA RAO RETD. DGP","080-26536140 / 9945298898",""
"State Police Headquarters","Retired Police Officers","PREM SHANKAR MEENA RETD. DGP","— / 8197777911",""
"State Police Headquarters","Retired Police Officers","H.C.KISHORE CHANDRA RETD. DGP (Hon'ble Chairman, RERA)","— / 9902030009",""
"State Police Headquarters","Retired Police Officers","M.N.REDDI RETD. DGP","— / 9481830000",""
"State Police Headquarters","Retired Police Officers","R.H.AURADKAR RETD. DGP (Hon'ble Member, KAT)","— / 9449084841, 9449003662",""
"State Police Headquarters","Retired Police Officers","ASHIT MOHAN PRASAD RETD. DGP","— / 9448074100",""
"State Police Headquarters","Retired Police Officers","PADAM KUMAR GARG RETD. DGP","— / 9480824808",""
"State Police Headquarters","Retired Police Officers","T.SUNEEL KUMAR RETD. DGP","80-25355353 / 9845666077",""
"State Police Headquarters","Retired Police Officers","Dr. AMAR KUMAR PANDEY RETD. DGP","— / 9945179024",""
"State Police Headquarters","Retired Police Officers","P.S.SANDHU RETD. DGP","— / 9481300000","pavanjeetsinghsandhu@gmail.com"
"State Police Headquarters","Retired Police Officers","Dr. P.RAVINDRANATH RETD. DGP","— / 9739405565, 9845048431",""
"State Police Headquarters","Retired Police Officers","C.H.PRATAP REDDY RETD. DGP","— / 9448956555",""
"State Police Headquarters","Retired Police Officers","KAMAL PANT RETD. DGP","— / 9845991451",""
"State Police Headquarters","Retired Police Officers","MALINI KRISHNAMOORTHY RETD. DGP","— / 9945979999",""
"State Police Headquarters","Retired Police Officers","CHANDRASHEKARA RETD. ADGP","— / 9845072185",""
"State Police Headquarters","Retired Police Officers","DHARMAPAL NEGI RETD. ADGP","— / 9900115209",""
"State Police Headquarters","Retired Police Officers","J.V.GAONKAR RETD. ADGP","— / 9482851770",""
"State Police Headquarters","Retired Police Officers","B.G.J.MIRJI RETD. ADGP","— / 9845188995",""
"State Police Headquarters","Retired Police Officers","KEMPAIAH RETD. ADGP","— / 9591536477",""
"State Police Headquarters","Retired Police Officers","P.KODANDARAMAIAH RETD. ADGP","— / 9448045295",""
"State Police Headquarters","Retired Police Officers","B.N.NAGARAJ RETD. ADGP","— / 9741385968",""
"State Police Headquarters","Retired Police Officers","K.NARAYAN RETD. ADGP","080-25251531 / 9448361531",""
"State Police Headquarters","Retired Police Officers","Dr. SUBASH BHARANI RETD. ADGP","— / 9945400123",""
"State Police Headquarters","Retired Police Officers","SURATH PRASAD RETD. ADGP","— / 9945570406",""
"State Police Headquarters","Retired Police Officers","K.S.N.CHIKKERUR RETD. ADGP","— / 9448467662",""
"State Police Headquarters","Retired Police Officers","MOHAMED WAZIR AHMED RETD. ADGP","— / 7899827080",""
"State Police Headquarters","Retired Police Officers","K.V.GAGANDEEP RETD. ADGP","— / 9611751222",""
"State Police Headquarters","Retired Police Officers","SANJAY SAHAY RETD. ADGP","— / 9845246669",""
"State Police Headquarters","Retired Police Officers","Dr. S.PARASHIVA MURTHY RETD. ADGP","— / 9741177775",""
"State Police Headquarters","Retired Police Officers","SUNIL AGARWAL RETD. ADGP","080-25720287 / 9448371117",""
"State Police Headquarters","Retired Police Officers","BHASKAR RAO RETD. ADGP","— / 9980915100",""
"State Police Headquarters","Retired Police Officers","N SHIVA KUMAR RETD. ADGP","— / 9448123234, 8951863632",""
"State Police Headquarters","Retired Police Officers","Dr. A.S.N.MURTHY RETD. ADGP","— / 9972792119",""
"State Police Headquarters","Retired Police Officers","AYACHIT RETD. IGP","— / 9741877882",""
"State Police Headquarters","Retired Police Officers","S.K. BALARAMAN RETD. IGP","080-25455869 / 9448808076",""
"State Police Headquarters","Retired Police Officers","C.CHANDRASHEKAR RETD. IGP","— / 9482222854",""
"State Police Headquarters","Retired Police Officers","DORESWAMY NAIK RETD. IGP","— / 9448505666",""
"State Police Headquarters","Retired Police Officers","T.JAYAPRAKASH RETD. IGP","— / 9845911115",""
"State Police Headquarters","Retired Police Officers","JAYPRAKASH V.NAYAK RETD. IGP","— / 9663945079",""
"State Police Headquarters","Retired Police Officers","H.R.KASTURI RANGAN RETD. IGP","080-23565252 / 9448065256",""
"State Police Headquarters","Retired Police Officers","U.NISSAR AHAMED RETD. IGP","— / 9845099499",""
"State Police Headquarters","Retired Police Officers","M.LAXMAN RETD. IGP","— / 9449348140",""
"State Police Headquarters","Retired Police Officers","D.N.MUNIKRISHNA RETD. IGP","080-48668724 / 9342811600",""
"State Police Headquarters","Retired Police Officers","K.S.MANDEGAR RETD. IGP","080-25630672 / 9886651769",""
"State Police Headquarters","Retired Police Officers","M.V.MURTHY RETD. IGP","— / 9845525252",""
"State Police Headquarters","Retired Police Officers","Dr. M.K.NAGARAJ RETD. IGP","— / 8095501072",""
"State Police Headquarters","Retired Police Officers","NARAYAN R.NADAMANI RETD. IGP","— / 9448194513",""
"State Police Headquarters","Retired Police Officers","SURESH KUNNI MOHAMMED RETD. IGP","— / 8747976333",""
"State Police Headquarters","Retired Police Officers","Y.R.PATIL RETD. IGP","— / 9844354803",""
"State Police Headquarters","Retired Police Officers","M.F PASHA RETD. IGP","— / 9980053054",""
"State Police Headquarters","Retired Police Officers","K.C. RAMAMURTHY RETD. IGP","— / 9845323700, 9108146700",""
"State Police Headquarters","Retired Police Officers","S. RAMAKRISHNA RETD. IGP","— / 9448400093",""
"State Police Headquarters","Retired Police Officers","S.K.VENUGOPAL RETD. IGP","— / 9900096569, 9845656569",""
"State Police Headquarters","Retired Police Officers","GOPAL B.HOSUR RETD. IGP","— / 9880975000",""
"State Police Headquarters","Retired Police Officers","K.L.SUDHEER RETD. IGP","— / 9980661575",""
"State Police Headquarters","Retired Police Officers","SYED ULFATH HUSSAIN RETD. IGP","— / 9448045234",""
"State Police Headquarters","Retired Police Officers","B.A.PADMANAYANA RETD. IGP","080-23401901 / 9482855875",""
"State Police Headquarters","Retired Police Officers","B.SHIVAKUMAR RETD. IGP","080-25632285 / 7022146331",""
"State Police Headquarters","Retired Police Officers","P.H.RANE RETD. IGP","— / 9448110533",""
"State Police Headquarters","Retired Police Officers","B.N.S.REDDY RETD. IGP","— / 7760996262",""
"State Police Headquarters","Retired Police Officers","N.SHIVAPRASAD RETD. IGP","— / 9845201832",""
"State Police Headquarters","Retired Police Officers","M.R.PUJAR RETD. IGP","— / 9611988880",""
"State Police Headquarters","Retired Police Officers","H.S.REVANNA RETD. IGP","— / 9164619777, 9480861031",""
"State Police Headquarters","Retired Police Officers","K.T.BALAKRISHNA RETD. IGP","— / 9945278100",""
"State Police Headquarters","Retired Police Officers","S N SIDDARAMAPPA RETD. IGP","— / 9731806397",""
"State Police Headquarters","Retired Police Officers","B.S.LOKESH KUMAR RETD. IGP","— / 9845689500",""
"State Police Headquarters","Retired Police Officers","B.SRIKANTAPPA RETD. DIGP","— / 9538554571",""
"State Police Headquarters","Retired Police Officers","G.B.CHEBBI RETD. DIGP","080-26686060 / 9845106747",""
"State Police Headquarters","Retired Police Officers","RAVINDRA PRASAD RETD. DIGP","— / 9845176270",""
"State Police Headquarters","Retired Police Officers","RAMESH HARIHAR RETD. DIGP","— / 7204543369",""
"State Police Headquarters","Retired Police Officers","K.H.SRINIVASAN RETD. DIGP","080-22581821 / 9448511274",""
"State Police Headquarters","Retired Police Officers","N.B.Bhat RETD. DIGP","— / 9448053377",""
"State Police Headquarters","Retired Police Officers","G.RAMESH RETD. DIGP","— / 9900066300",""
"State Police Headquarters","Retired Police Officers","H.S.VENKATESH RETD. DIGP","— / 9964610000, 9448710000",""
"State Police Headquarters","Retired Police Officers","T.G.KRISHNA BHAT RETD. DIGP","— / 9972677999",""
"State Police Headquarters","Retired Police Officers","Dr. T.D.PAWAR RETD. DIGP","— / 7349282828",""
"State Police Headquarters","Retired Police Officers","Dr. D.C.RAJAPPA RETD. DIGP","— / 9448149194, 9353333109",""
"State Police Headquarters","Retired Police Officers","T.R.SURESH RETD. DIGP","— / 9448061330",""
"State Police Headquarters","Retired Police Officers","ESHWARCHANDRA VIDYASAGAR RETD. SP","— / 9448556666",""
"State Police Headquarters","Retired Police Officers","P.MUNISWAMY RETD. SP","— / 9449085580",""
"State Police Headquarters","Retired Police Officers","S.B.BISNALLI RETD. SP","— / 9448691999","sbbisnalli11@gmail.com"
"State Police Headquarters","Retired Police Officers","RAMASUBBU RETD. SP","— / 9980955188",""
"State Police Headquarters","Retired Police Officers","K.SRINIVASA RETD. DCP","— / 9945121169",""
"State Police Headquarters","Retired Police Officers","RANGASWAMY NAIK RETD. SP","080-25279433 / 9845194614",""
"State Police Headquarters","Retired Police Officers","M.MUTHURAYA RETD. SP","— / 9449399973",""
"State Police Headquarters","Retired Police Officers","A. KUMARASWAMY RETD. SP","— / 9243456629",""
"State Police Headquarters","Retired Police Officers","K.G.DEVARAJU RETD. SP","— / 9449721149",""
"Special Units","Home, Civil Defence, Fire & Emergency Services","DGP & Director General, Fire & Emergency Services / Commandant General Home Guards / Director General SDRF / Director Civil Defence","080-25570733, 080-22942108 / 9480823601","dgp.ksfes@ksp.gov.in"
