AGID,Name,Rank,Email,Mobile,Landline,District,Office,Unit
AGID0595,ACP Traffic North,ACP,acpnorthtrafficbcp@ksp.gov.in,9480801907,22942092,Bengaluru City,ACP Traffic North,Traffic
AGID0596,ACP Traffic North-East,ACP,acpnortheasttrafficbcp@ksp.gov.in,9480801073,22943708,Bengaluru City,ACP Traffic North-East,Traffic
AGID0597,ACP Traffic South,ACP,acpsouthtrafficbcp@ksp.gov.in,9480801906,22942090,Bengaluru City,ACP Traffic South,Traffic
AGID0598,ACP Traffic South-East,ACP,acpsetrf@gmail.com,9480801805,22942115,Bengaluru City,ACP Traffic South-East,Traffic
AGID0599,ACP Traffic Training & Road Safety Institute,ACP,ttitrnorthbcphcp@ksp.gov.in,9480801808,22942117,Bengaluru City,ACP Traffic Training & Road Safety Institute,Traffic
AGID0600,ACP Traffic Vijayanagara,ACP,,9480801611,22942943,Bengaluru City,ACP Traffic Vijayanagara,Traffic
AGID0601,ACP Traffic West,ACP,acpwesttrafficbc@ksp.gov.in,9480801905,22942094,Bengaluru City,ACP Traffic West,Traffic
AGID1392,ACP V.V. Puram,ACP,acpvvpurabcp@ksp.gov.in,9480801506,22942165,Bengaluru City,ACP V.V. Puram,L&O
AGID1393,ACP Vidhana Soudha Security,ACP,,9480801108,22943731,Bengaluru City,ACP Vidhana Soudha Security,L&O
AGID1395,ACP Vijayanagara,ACP,,9480802261,8212418511,Mysuru City,ACP Vijayanagara,L&O
AGID1394,ACP Vijayanagara,ACP,acpvjynagarbcp@ksp.gov.in,9480801707,22942153,Bengaluru City,ACP Vijayanagara,L&O
AGID1352,ACP Vikasa Soudha Security,ACP,acpvikassoudhasecbcp@ksp.gov.in,9480801068,22935199,Bengaluru City,ACP Vikasa Soudha Security,L&O
AGID1396,ACP Whitefield,ACP,acpwhitefieldbcp@ksp.gov.in,9480801076,22943155,Bengaluru City,ACP Whitefield,L&O
AGID1397,ACP Yelahanka,ACP,acpylkbcp@ksp.gov.in,9480801070,22943734,Bengaluru City,ACP Yelahanka,L&O
AGID1398,ACP Yeshwanthapura,ACP,acpypurabcp@ksp.gov.in,9480801306,22942157,Bengaluru City,ACP Yeshwanthapura,L&O
AGID2614,ACT COP,SS,,,22943395,Bengaluru City,ACT COP,COP
AGID2624,AO,AO,aohqdcre@ksp.gov.in,9480806119,080-22260827,HQ,DGP Office,DCRE
AGID1399,AO COP,AO,,,22942825,Bengaluru City,AO COP,L&O
WqEdNxueyYx34SM8d3n7,ASP Bhadravathi,ASP,sdpobdvtshi@ksp.gov.in,9480803320,08282-274252,Shivamogga,,L&O
AGID1401,ASP Holenarsipura,ASP,sdpehnpurahsn@ksp.gov.in,9480804722,8175273632,Hassan,ASP Holenarsipura,L&O
AGID0713,Addl SP-2 Hassan,Addl SP-2,,9480804710,8172268007,Hassan,Addl SP-2 Hassan,L&O
AGID2571,Addl SP.1 Hassan,Addl.SP -1,addlsphsn@ksp.gov.in,9480804702,8172265076,Hassan,Addl SP.1 Hassan,L&O
AGID0714,Addl. DC Karwar,Addl DC,addldcukwr@nic.in,,8382227094,Uttara Kannada,Addl. DC Karwar,L&O
AGID2572,Addl. SP Chamarajanagara,Addl.SP,addlspchn@ksp.gov.in,9480804602,8226225979,Chamarajanagara,Addl. SP Chamarajanagara,L&O
AGID2573,Addl. SP Chikkaballapura,Addl.SP,addlspcbpura@ksp.gov.in,9480802502,08156-277218,Chikkaballapura,Addl. SP Chikkaballapura,L&O
AGID2574,Addl. SP Dharwad,Addl.SP,addlspdwd@ksp.gov.in,9480804309,0836-2233203,Dharwad,Addl. SP Dharwad,L&O
AGID2575,Addl. SP Gadag,Addl.SP,addlspgdg@ksp.gov.in,9480804409,08372-233260,Gadag,Addl. SP Gadag,L&O
AGID2576,Addl. SP Haveri,Addl.SP,addlsphvr@ksp.gov.in,9480804502,08375-235880,Haveri,Addl. SP Haveri,L&O
AGID0301,Addl. SP Kodagu,SP,,,8272,Kodagu,Addl. SP Kodagu,DAR
AGID2577,Addl. SP Koppal,Addl.SP,addlspkpl@ksp.gov.in,9480803702,08539-230800,Koppal,Addl. SP Koppal,L&O
AGID2578,Addl. SP Vijayanagara,Addl.SP,addlspvjn@ksp.gov.in,9480805702,08394-200293,Vijayanagara,Addl. SP Vijayanagara,L&O
AGID2579,Addl. SP Yadgiri,Addl.SP,addlspydr@ksp.gov.in,9480803602,08473-253776,Yadgiri,Addl. SP Yadgiri,L&O
AGID0715,Addl. SP-1 Ballari,Addl SP-1,addlspblr@ksp.gov.in,9480803002,08392-258837,Ballari,Addl. SP-1 Ballari,L&O
AGID0716,Addl. SP-1 Belagavi,Addl SP-1,addlsphgm@ksp.gov.in,9480804002,0831-2405207,Belagavi,Addl. SP-1 Belagavi,L&O
AGID0717,Addl. SP-1 Bengaluru,Addl SP-1,addlspbng@ksp.gov.in,9480802402,22260603,Bengaluru,Addl. SP-1 Bengaluru,L&O
AGID0235,Addl. SP-1 Bidar,Addl SP-1,addlspbdr@ksp.gov.in,9480803402,08482-226702,Bidar,Addl. SP-1 Bidar,DAR
AGID0718,Addl. SP-1 Chikkamagaluru,Addl SP-1,addlsp1ckm@ksp.gov.in,9480805102,08262-234099,Chikkamagaluru,Addl. SP-1 Chikkamagaluru,L&O
AGID0719,Addl. SP-1 Chitradurga,Addl SP-1,addlspcta@ksp.gov.in,9480803102,08194-224053,Chitradurga,Addl. SP-1 Chitradurga,L&O
AGID0720,Addl. SP-1 Dakshina Kannada,Addl SP-1,addlsp1maq@ksp.gov.in,,,Dakshina Kannada,Addl. SP-1 Dakshina Kannada,L&O
AGID0721,Addl. SP-1 Davanagere,Addl SP-1,addlspdyg@ksp.gov.in,9480803202,08192-232717,Davanagere,Addl. SP-1 Davanagere,L&O
AGID0722,Addl. SP-1 Kalaburagi,Addl SP-1,addlsppba@ksp,9480803502,08472-263603,Kalaburagi,Addl. SP-1 Kalaburagi,L&O
AGID0723,Addl. SP-1 Kolar,Addl SP-1,addlspklr@ksp.gov.in,9480802602,243061,Kolar,Addl. SP-1 Kolar,L&O
AGID0724,Addl. SP-1 Mandya,Addl SP-1,addlspmdy@ksp.gov.in,9480804802,8232224311,Mandya,Addl. SP-1 Mandya,L&O
AGID0725,Addl. SP-1 Mysuru,Addl SP-1,addlspmys@ksp.gov.in,9480805002,8212446638,Mysuru,Addl. SP-1 Mysuru,L&O
AGID0726,Addl. SP-1 Raichur,Addl SP-1,addlsprcr@ksp.gov.in,9480803802,08532-235133,Raichur,Addl. SP-1 Raichur,L&O
AGID0727,Addl. SP-1 Ramanagar,Addl SP-1,addlsprmn@ksp.gov.in,9480802802,27275070,Ramanagara,Addl. SP-1 Ramanagar,L&O
AGID0728,Addl. SP-1 Shivamogga,Addl SP-1,addlspsmg@ksp.gov.in,9480803302,08182-261402,Shivamogga,Addl. SP-1 Shivamogga,L&O
AGID0729,Addl. SP-1 Tumkur,Addl SP-1,addlsptkr@ksp.gov.in,9480802902,2274130,Tumkur,Addl. SP-1 Tumkur,L&O
AGID0730,Addl. SP-1 Udupi,Addl SP-1,addlsp1udp@ksp.gov.in,9480805402,0820-2522895,Udupi,Addl. SP-1 Udupi,L&O
AGID0731,Addl. SP-1 Uttara Kannada,Addl SP-1,addlsp1ukwr@ksp.gov.in,9480805202,08382-227536,Uttara Kannada,Addl. SP-1 Uttara Kannada,L&O
AGID0732,Addl. SP-1 Vijayapura,Addl SP-1,addlspbjp@ksp.gov.in,9480804202,08352-250040,Vijayapura,Addl. SP-1 Vijayapura,L&O
AGID0733,Addl. SP-2 Ballari,Addl SP-2,addlsp2blr@ksp.gov.in,9480803009,08392-257966,Ballari,Addl. SP-2 Ballari,L&O
AGID0734,Addl. SP-2 Belagavi,Addl SP-2,derbbgm@ksp.gov.in,9480804009,0831-2405217,Belagavi,Addl. SP-2 Belagavi,L&O
AGID0735,Addl. SP-2 Bengaluru,Addl SP-2,addlspbng2@ksp.gov.in,9480802409,22942632,Bengaluru,Addl. SP-2 Bengaluru,L&O
AGID0236,Addl. SP-2 Bidar,Addl SP-2,addlsp2bdr@ksp.gov.in,9480803409,,Bidar,Addl. SP-2 Bidar,DAR
AGID0736,Addl. SP-2 Chikkamagaluru,Addl SP-2,addlsp2ckm@ksp.gov.in,9480805109,-,Chikkamagaluru,Addl. SP-2 Chikkamagaluru,L&O
AGID0737,Addl. SP-2 Chitradurga,Addl SP-2,,9480803109,,Chitradurga,Addl. SP-2 Chitradurga,L&O
AGID0739,Addl. SP-2 Davanagere,Addl SP-2,,9480803221,08192-259100,Davanagere,Addl. SP-2 Davanagere,L&O
AGID0740,Addl. SP-2 Kalaburagi,Addl SP-2,,9480803509,08472-263609,Kalaburagi,Addl. SP-2 Kalaburagi,L&O
AGID0741,Addl. SP-2 Kolar,Addl SP-2,addlsp2klr@ksp.gov.in,9480802603,,Kolar,Addl. SP-2 Kolar,L&O
AGID0742,Addl. SP-2 Mandya,Addl SP-2,addlsp2mdy@ksp.gov.in,9480804803,,Mandya,Addl. SP-2 Mandya,L&O
AGID0743,Addl. SP-2 Mysuru,Addl SP-2,addlsp2mys@ksp.gov.in,9480805009,8212446932,Mysuru,Addl. SP-2 Mysuru,L&O
AGID0744,Addl. SP-2 Raichur,Addl SP-2,addlsp2rcr@ksp.gov.in,9480803803,,Raichur,Addl. SP-2 Raichur,L&O
AGID0745,Addl. SP-2 Ramanagar,Addl SP-2,addlsp2rmn@ksp.gov.in,,27271003,Ramanagara,Addl. SP-2 Ramanagar,L&O
AGID0746,Addl. SP-2 Shivamogga,Addl SP-2,,9480803391,08182-255277,Shivamogga,Addl. SP-2 Shivamogga,L&O
AGID0237,Addl. SP-2 Tumkur,Addl SP-2,addlsp2tkr@ksp.gov.in,9480802905,,Tumkur,Addl. SP-2 Tumkur,DAR
AGID0747,Addl. SP-2 Udupi,Addl SP-2,addlsp2udp@ksp.gov.in,9480805409,-,Udupi,Addl. SP-2 Udupi,L&O
AGID0748,Addl. SP-2 Uttara Kannada,Addl SP-2,addlsp2ukwr@ksp.gov.in,9480805204,-,Uttara Kannada,Addl. SP-2 Uttara Kannada,L&O
AGID0749,Addl. SP-2 Vijayapura,Addl SP-2,,9480804200,08352-222157,Vijayapura,Addl. SP-2 Vijayapura,L&O
AGID0750,Adl. SP-1 Bagalkote,Addl SP-1,addlsphgk@ksp.gov.in,9480803902,08354-235254,Bagalkote,Adl. SP-1 Bagalkote,L&O
AGID0751,Adl. SP-2 Bagalkote,Addl SP-2,,9480803903,,Bagalkote,Adl. SP-2 Bagalkote,L&O
AGID0752,Administrative Training,,,,2520906,Mysuru City,Administrative Training,Other
AGID0753,Air Force,,,,08482-237281,Bidar,Air Force,Other
AGID0754,Airport,,,,08392-242188,Ballari,Airport,Other
AGID0755,Airport Bajpe,,,,2220400,Mangaluru City,Airport Bajpe,Other
AGID0756,Airport Counter,,,,2237921,Hubballi–Dharwad City,Airport Counter,Other
AGID0757,Airport PS,,,,2233475,Hubballi–Dharwad City,AIRPORT PS,L&O
AGID0758,Almatti Dam,,,,08426-281081,Bagalkote,Almatti Dam,Other
AGID0759,Arms,,,,22942373,Bengaluru City,Arms,Armoury
AGID2615,Arms Mag Genrl COP,SS,,,22942373,Bengaluru City,Arms Mag Genrl COP,COP
AGID0760,Asst. Dir. Women & Children,,womenchildckm@nic.in,,8262220930,Chikkamagaluru,Asst. Dir. Women & Children,Other
AGID0130,Automation Centre,,,,22943381,Bengaluru City,Automation Centre,CEN
AGID1026,Badami PS,,badamibgk@ksp.gov.in,,,Bagalkote,Badami PS,Other
AGID0761,Balehosur OP,,,,08487-271285,Gadag,Balehosur OP,L&O
AGID0762,Bowring Hospital OP,,,,22943504,Bengaluru City,Bowring Hospital OP,L&O
AGID2616,Building & Recruitment Training & Pension,SS,,,22943138,Bengaluru City,Building & Recruitment Training & Pension,COP
AGID0763,Bukkapatna OP,,,,08135-271509,Tumkur,Bukkapatna OP,L&O
AGID0764,CCTV,,,,22943746,Bengaluru City,CCTV,CCTV
AGID0765,CDR Cell,,spmercdr@ksp.gov.in,9480804909,,Kodagu,CDR Cell,CDR
AGID0767,CDR Section,,,9480803708,,Koppal,CDR Section,CDR
AGID0766,CDR Section,,,8277984724,,Haveri,CDR Section,CDR
AGID0768,CDR Section,,,,,Raichur,CDR Section,CDR
AGID0132,CEN PS,,cenpsnortheastbcp@ksp.gov.in,8277945746,22943810,Bengaluru City,CEN PS,CEN
AGID0133,CEN PS,,dcbmaq@ksp.gov.in,8277986475,0824-2440986,Dakshina Kannada,CEN PS,CEN
AGID0131,CEN PS,,,,22943507,Bengaluru City,CEN PS,CEN
AGID0465,CMDT H.Guard,Cmdt,,,08375-236160,Haveri,CMDT H.Guard,Home Guard
AGID0467,CMDT. Home Guard,Cmdt,hgcmdtcta@gmail.com,9480803106,08194-220181,Chitradurga,CMDT. Home Guard,Home Guard
AGID0470,CMDT. Home Guard,Cmdt,,,,Raichur,CMDT. Home Guard,Home Guard
AGID0472,CMDT. Home Guard,Cmdt,cmdthgukwr@gmail.com,,8382226361,Uttara Kannada,CMDT. Home Guard,Home Guard
AGID0466,CMDT. Home Guard,Cmdt,,,8226225856,Chamarajanagara,CMDT. Home Guard,Home Guard
AGID0471,CMDT. Home Guard,Cmdt,cmdthgudp@gmail.com,,8202533650,Udupi,CMDT. Home Guard,Home Guard
AGID0475,COMMDT Home Guards,Cmdt,,,8232220125,Mandya,COMMDT Home Guards,Home Guard
AGID0773,COP Back Gate,,,,22943100,Bengaluru City,COP Back Gate,L&O
AGID0774,COP Main Gate,,,,22943275,Bengaluru City,COP Main Gate,L&O
AGID0775,COP Stores,,,,22943667,Bengaluru City,COP Stores,Minisrial
AGID0776,CP Belagavi City,CP,copbge@ksp.gov.in,9480800650,2405279,Belagavi City,CP Belagavi City,L&O
AGID0777,CP Bengaluru City,CP,compolbcp@ksp.gov.in,9480801001,22260222,Bengaluru City,CP Bengaluru City,L&O
AGID0778,CP Hubballi-Dharwad City,CP,compolhde@ksp.gov.in,9480802001,0836-2233500,Hubballi–Dharwad City,CP Hubballi-Dharwad City,L&O
AGID0779,CP Kalaburagi City,CP,copkbe@ksp.gov.in,9480805501,248500,Kalaburagi City,CP Kalaburagi City,L&O
AGID0780,CP Mangaluru City,CP,compolmgc@ksp.gov.in,9480802301,0824-2220801,Mangaluru City,CP Mangaluru City,L&O
AGID0781,CP Mysuru City,CP,compolmyc@ksp.gov.in,9480802201,2418300,Mysuru City,CP Mysuru City,L&O
AGID0782,CPI Afzalpur Circle,CPI,cpiafzalpurgha@ksp.gov.in,9480803539,08470-283038,Kalaburagi,Afzalpur Circle,L&O
AGID0783,CPI Aimangala Circle,CPI,cpihiriyurcta@ksp.gov.in,9480803133,08193-260199,Chitradurga,Aimangala Circle,L&O
AGID0784,CPI Aldur Circle,CPI,cpialdurckm@ksp.gov.in,9480805131,08262-220800,Chikkamagaluru,Aldur Circle,L&O
AGID0785,CPI Alland Circle,CPI,cpialandgha@ksp.gov.in,9480803539,08477-202222,Kalaburagi,Alland Circle,L&O
AGID0786,CPI Amruthur Circle,CPI,cpiamrutgurtr@ksp.gov.in,9480802936,08132-225229,Tumkur,Amruthur Circle,L&O
AGID0787,CPI Arakalagudu PS,CPI,epiarkalgudhsn@ksp.gov.in,9480804734,8175220285,Hassan,Arakalagudu PS,L&O
AGID0788,CPI Arasikere Rural Circle,CPI,cpiarasikereruralhsn@ksp.gov.in,9480804731,8174232702,Hassan,Arasikere Rural Circle,L&O
AGID0789,CPI Athani Circle,CPI,cpiathanibgm@ksp.gov.in,9480804044,08289-251203,Belagavi,Athani Circle,L&O
AGID0790,CPI Aurad Circle,CPI,cpiauradbdr@ksp.gov.in,9480803430,08485-280375,Bidar,Aurad Circle,L&O
AGID1403,CPI Badami Circle,CPI,,9480803933,08357-220033,Bagalkote,Badami Circle,L&O
AGID0791,CPI Bagalkote Rural Circle,CPI,cpibgkrural,9480803931,08354-220233,Bagalkote,Bagalkote Rural Circle,L&O
AGID0792,CPI Banahatti Circle PS,CPI,cpibannahattibgk@ksp.gov.in,9480803935,08353-220133,Bagalkote,Banahatti Circle PS,L&O
AGID0793,CPI Basavakalyan Circle,CPI,cpibkalyanbdr@ksp.gov.in,9480803432,08481-250011,Bidar,Basavakalyan Circle,L&O
AGID0794,CPI Basavanahalli Circle,CPI,cpibasavanahallickm@ksp.gov.in,9480805130,08262-228120,Chikkamagaluru,Basavanahalli Circle,L&O
AGID0795,CPI Begur Circle,CPI,epibegurehn@ksp.gov.in,9480804632,8229222211,Chamarajanagara,Begur Circle,L&O
AGID0796,CPI Belthangadi Circle,CPI,cpibelthangadimaq@ksp.gov.in,9480805336,08256-232353,Dakshina Kannada,Belthangadi Circle,L&O
AGID0797,CPI Betageri Circle,CPI,cpibetagerigd@ksp.gov.in,9480804432,08372-235655,Gadag,Betageri Circle,L&O
